"Line" "Gener" "ind" "bloss" "GenLine" "dam" "sire" "SEL" "GA" "logGA" "UBA" "logUBA"
"50" "Up" "F1" "UP1_17" 2 "F1Up" "51077" "51485" "no" 28.3 3.34286180464919 583 6.36818718635049
"51" "Up" "F1" "UP1_17" 3 "F1Up" "51077" "51485" "no" 30.65 3.42263266238222 491.73 6.19792978536938
"52" "Up" "F1" "UP1_18" 1 "F1Up" "51087" "51136" "no" 34.83 3.55047908437791 582.78 6.36780975664229
"53" "Up" "F1" "UP1_18" 2 "F1Up" "51087" "51136" "no" 21.67 3.07592881554827 497.97 6.21053983424624
"54" "Up" "F1" "UP1_18" 3 "F1Up" "51087" "51136" "no" 27.58 3.31709087236516 445.22 6.09856854202218
"55" "Up" "F1" "UP1_19" 1 "F1Up" "51087" "51153" "no" 33.34 3.50675787732265 510.24 6.23488120326175
"56" "Up" "F1" "UP1_19" 2 "F1Up" "51087" "51153" "no" 24.57 3.20152618653309 674.82 6.51444598864399
"57" "Up" "F1" "UP1_19" 3 "F1Up" "51087" "51153" "no" 18.37 2.91071889922703 380.98 5.94274688031055
"58" "Up" "F1" "UP1_20" 1 "F1Up" "51087" "51290" "no" 23.46 3.15529684322533 534.21 6.28078902008133
"59" "Up" "F1" "UP1_20" 2 "F1Up" "51087" "51290" "no" 30.44 3.41575753299349 553.61 6.31646046772413
"60" "Up" "F1" "UP1_20" 3 "F1Up" "51087" "51290" "no" 29.29 3.37724616083964 553.54 6.31633401692687
"61" "Up" "F1" "UP1_21" 1 "F1Up" "51136" "51153" "no" 28.54 3.35130661204869 326.76 5.78922595647367
"62" "Up" "F1" "UP1_21" 2 "F1Up" "51136" "51153" "no" 24.66 3.2051824977362 382.3 5.94620564070237
"63" "Up" "F1" "UP1_21" 3 "F1Up" "51136" "51153" "no" 26.17 3.26461371654205 452.87 6.11560510858018
"64" "Up" "F1" "UP1_22" 1 "F1Up" "51136" "51153" "no" 31.36 3.44553319548221 556.11 6.32096611640911
"65" "Up" "F1" "UP1_22" 2 "F1Up" "51136" "51153" "no" 31.64 3.45442214289945 507.32 6.22914196819923
"66" "Up" "F1" "UP1_22" 3 "F1Up" "51136" "51153" "no" 31.76 3.45820763637894 557.88 6.32414388549049
"67" "Up" "F1" "UP1_23" 1 "F1Up" "51136" "51243" "UtF2" 38.62 3.65377027700037 420.94 6.04249030571103
"68" "Up" "F1" "UP1_23" 2 "F1Up" "51136" "51243" "UtF2" 36.37 3.5937442589989 471.24 6.15536751837792
"69" "Up" "F1" "UP1_23" 3 "F1Up" "51136" "51243" "UtF2" 36.92 3.60875340963465 564.77 6.33641856862101
"70" "Up" "F1" "UP1_24" 1 "F1Up" "51136" "51290" "no" 29.98 3.40053049267445 563.55 6.33425606068809
"71" "Up" "F1" "UP1_24" 2 "F1Up" "51136" "51290" "no" 30.6 3.42100000895834 416.41 6.03167035182229
