"Line" "Gener" "ind" "bloss" "GenLine" "dam" "sire" "SEL" "GA" "logGA" "UBA" "logUBA"
"53" "Parent" "P" "70089" 1 "PParent" "40047" "40047" "no" 23.34 3.15016862685841 320.58 5.77013185519773
"54" "Parent" "P" "70089" 2 "PParent" "40047" "40047" "no" 12.19 2.50061594349318 317.68 5.761044586823
"55" "Parent" "P" "70089" 3 "PParent" "40047" "40047" "no" 20.52 3.02140002030257 294.13 5.68402184647805
"56" "Parent" "P" "70089" 4 "PParent" "40047" "40047" "no" 22.45 3.11129061418826 349.55 5.85664661295799
"57" "Parent" "P" "70093" 1 "PParent" "40153" "40114" "no" 19.09 2.94916463773766 349.86 5.85753307446212
"58" "Parent" "P" "70093" 2 "PParent" "40153" "40114" "no" 13.05 2.5687881337687 286.62 5.65815729662993
"59" "Parent" "P" "70093" 3 "PParent" "40153" "40114" "no" 19.75 2.98315349134713 310.8 5.73914961849349
"60" "Parent" "P" "70093" 4 "PParent" "40153" "40114" "no" 15.93 2.76820412392196 254.61 5.53973296264969
"61" "Parent" "P" "70109" 1 "PParent" "40081" "40072" "DtF1" 14.06 2.64333388638252 240.49 5.48267850863976
"62" "Parent" "P" "70109" 2 "PParent" "40081" "40072" "DtF1" 15.04 2.71071331852169 328.83 5.79554089989574
"63" "Parent" "P" "70109" 3 "PParent" "40081" "40072" "DtF1" 12.03 2.48740352998659 320.46 5.76975746357973
"64" "Parent" "P" "70109" 4 "PParent" "40081" "40072" "DtF1" 13.61 2.61080481666337 323.3 5.77858068473139
"65" "Parent" "P" "70111" 1 "PParent" "40075" "40114" "UtF1" 21.06 3.04737550670583 381.57 5.9442943201315
"66" "Parent" "P" "70111" 2 "PParent" "40075" "40114" "UtF1" 19.91 2.9912221180761 322.2 5.77517247074287
"67" "Parent" "P" "70111" 3 "PParent" "40075" "40114" "UtF1" 23.18 3.14328983791161 407.47 6.00996731033896
"68" "Parent" "P" "70111" 4 "PParent" "40075" "40114" "UtF1" 20.26 3.00864849882054 287.95 5.66278685395268
"69" "Parent" "P" "70121" 1 "PParent" "40103" "40036" "no" 15.84 2.76253838638628 366.31 5.90347996943943
"70" "Parent" "P" "70121" 2 "PParent" "40103" "40036" "no" 21.84 3.0837431508767 421.01 6.04265658636941
"71" "Parent" "P" "70121" 3 "PParent" "40103" "40036" "no" 20.56 3.02334744058696 389.55 5.96499222677687
"72" "Parent" "P" "70121" 4 "PParent" "40103" "40036" "no" 17.92 2.88591740754678 431.68 6.06768457301939
"73" "Parent" "P" "70129" 1 "PParent" "40089" "40019" "no" 20.73 3.03158192644769 405.9 6.00610682384485
"74" "Parent" "P" "70129" 2 "PParent" "40089" "40019" "no" 19.51 2.97092715463502 335.23 5.81481686340983
"75" "Parent" "P" "70129" 3 "PParent" "40089" "40019" "no" 17.73 2.87525812008612 359.48 5.88465854279017
"76" "Parent" "P" "70129" 4 "PParent" "40089" "40019" "no" 19.7 2.98061863574394 343.34 5.83872120984278
"77" "Parent" "P" "70136" 1 "PParent" "40124" "40019" "DtF1" 15.08 2.71336936257981 331.24 5.8028431881655
"78" "Parent" "P" "70136" 2 "PParent" "40124" "40019" "DtF1" 15.72 2.75493378700106 313.16 5.74671424203971
"79" "Parent" "P" "70136" 3 "PParent" "40124" "40019" "DtF1" 15.16 2.71866038021423 306.41 5.72492407440958
"80" "Parent" "P" "70136" 4 "PParent" "40124" "40019" "DtF1" 11.16 2.41233595695316 335.06 5.81430962026539
"81" "Parent" "P" "70146" 1 "PParent" "40149" "40117" "no" 21.49 3.06758771065442 423.69 6.04900205574908
"82" "Parent" "P" "70146" 2 "PParent" "40149" "40117" "no" 16.11 2.77944019718888 407.46 6.00994276835376
"83" "Parent" "P" "70146" 3 "PParent" "40149" "40117" "no" 19.52 2.97143958098495 400.19 5.99193943433119
"84" "Parent" "P" "70146" 4 "PParent" "40149" "40117" "no" 18.6 2.92316158071916 414.73 6.02762770608747
"85" "Parent" "P" "70149" 1 "PParent" "40153" "40075" "no" 18.66 2.9263821954192 448.04 6.10488251414354
"86" "Parent" "P" "70149" 2 "PParent" "40153" "40075" "no" 19.23 2.95647155960069 423.28 6.04803389859588
"87" "Parent" "P" "70149" 3 "PParent" "40153" "40075" "no" 17.5 2.86220088092947 357.95 5.88039331184219
"88" "Parent" "P" "70149" 4 "PParent" "40153" "40075" "no" 18.61 2.92369907065416 501.52 6.21764348696571
"89" "Parent" "P" "70151" 1 "PParent" "40018" "40145" "DtF1" 14.98 2.70671597808907 309.74 5.73573323588803
"90" "Parent" "P" "70151" 2 "PParent" "40018" "40145" "DtF1" 11.77 2.46555392127219 296.16 5.69089984882519
"91" "Parent" "P" "70151" 3 "PParent" "40018" "40145" "DtF1" 16.73 2.81720351499873 319.62 5.76713279015696
"92" "Parent" "P" "70151" 4 "PParent" "40018" "40145" "DtF1" 19.98 2.99473177322041 388.09 5.96123727148789
"93" "Parent" "P" "70156" 1 "PParent" "40118" "40109" "no" 18.03 2.89203703721523 446.08 6.1004983081321
"94" "Parent" "P" "70156" 2 "PParent" "40118" "40109" "no" 20.57 3.02383370366487 426.73 6.0561514947298
"95" "Parent" "P" "70156" 3 "PParent" "40118" "40109" "no" 17 2.83321334405622 361.31 5.88973631560063
"96" "Parent" "P" "70156" 4 "PParent" "40118" "40109" "no" 18.83 2.93545134266906 351.37 5.861839799314
"97" "Parent" "P" "70159" 1 "PParent" "40153" "40036" "DtF1" 17 2.83321334405622 324.49 5.78225471902832
"98" "Parent" "P" "70159" 2 "PParent" "40153" "40036" "DtF1" 16.71 2.8160073426073 377.72 5.93415318039487
"99" "Parent" "P" "70159" 3 "PParent" "40153" "40036" "DtF1" 15.29 2.72719901994097 355.51 5.87355337824289
"100" "Parent" "P" "70159" 4 "PParent" "40153" "40036" "DtF1" 16.33 2.79300390698237 355.19 5.87265285756855
"101" "Parent" "P" "70168" 1 "PParent" "40053" "40097" "UtF1" 21.2 3.05400118167797 478.39 6.17042629940792
"102" "Parent" "P" "70168" 2 "PParent" "40053" "40097" "UtF1" 21.53 3.06944731137627 452.89 6.11564927038906
"103" "Parent" "P" "70168" 3 "PParent" "40053" "40097" "UtF1" 21.26 3.0568273729138 461.87 6.13528346620409
"104" "Parent" "P" "70168" 4 "PParent" "40053" "40097" "UtF1" 27.06 3.29805662274264 543.09 6.29727505205596
"105" "Parent" "P" "70173" 1 "PParent" "40036" "40036" "DtF1" 10.39 2.34084380511114 253.34 5.53473246005549
"106" "Parent" "P" "70173" 2 "PParent" "40036" "40036" "DtF1" 13.98 2.63762773680566 326.19 5.78748003367777
"107" "Parent" "P" "70173" 3 "PParent" "40036" "40036" "DtF1" 12.6 2.53369681395743 343.73 5.83985646546997
"108" "Parent" "P" "70173" 4 "PParent" "40036" "40036" "DtF1" 15.78 2.75874331541773 314.33 5.75044338945525
"109" "Parent" "P" "70174" 1 "PParent" "40065" "40044" "UtF1" 23.63 3.16251709119882 362.38 5.89269338500796
"110" "Parent" "P" "70174" 2 "PParent" "40065" "40044" "UtF1" 26.87 3.2910104226274 416.62 6.03217453535577
"111" "Parent" "P" "70174" 3 "PParent" "40065" "40044" "UtF1" 21.59 3.07223024452672 359.57 5.8849088730884
"112" "Parent" "P" "70174" 4 "PParent" "40065" "40044" "UtF1" 24.83 3.21205259952008 439.4 6.08541015995051
"113" "Parent" "P" "70176" 1 "PParent" "40036" "40153" "no" 16.19 2.78439376768954 348.74 5.85432665888935
"114" "Parent" "P" "70176" 2 "PParent" "40036" "40153" "no" 14.78 2.69327491552006 388.76 5.96296218663527
"115" "Parent" "P" "70176" 3 "PParent" "40036" "40153" "no" 20.64 3.02723094061336 440.42 6.08772881707805
"116" "Parent" "P" "70176" 4 "PParent" "40036" "40153" "no" 19.65 2.97807733831527 419.89 6.03999277221247
"117" "Parent" "P" "70179" 1 "PParent" "40036" "40103" "no" 16.4 2.79728133483015 249.93 5.52118087865493
"118" "Parent" "P" "70179" 2 "PParent" "40036" "40103" "no" 19.86 2.98870765861703 325.64 5.78579247670578
"119" "Parent" "P" "70179" 3 "PParent" "40036" "40103" "no" 22.49 3.11307076597122 489.93 6.19426252375676
"120" "Parent" "P" "70179" 4 "PParent" "40036" "40103" "no" 18.16 2.89922137317315 436.43 6.07862799586745
"121" "Parent" "P" "70183" 1 "PParent" "40114" "40103" "no" 22.33 3.10593106585207 364.43 5.89833448911017
"122" "Parent" "P" "70183" 2 "PParent" "40114" "40103" "no" 21.77 3.08053287524646 385.07 5.95342513594268
"123" "Parent" "P" "70183" 3 "PParent" "40114" "40103" "no" 19.92 2.99172425215645 336.9 5.81978615041251
"124" "Parent" "P" "70183" 4 "PParent" "40114" "40103" "no" 15.86 2.7638002162067 373.05 5.92171245891752
"125" "Parent" "P" "70186" 1 "PParent" "40143" "40143" "DtF1" 13.33 2.59001713419062 335.16 5.81460802974509
"126" "Parent" "P" "70186" 2 "PParent" "40143" "40143" "DtF1" 14.22 2.65464942437509 313.25 5.74700159377618
"127" "Parent" "P" "70186" 3 "PParent" "40143" "40143" "DtF1" 17.67 2.87186828633161 406.07 6.00652555853329
"128" "Parent" "P" "70186" 4 "PParent" "40143" "40143" "DtF1" 17.24 2.84723226523555 361.9 5.8913679305697
"129" "Parent" "P" "70190" 1 "PParent" "40060" "40143" "no" 16.09 2.77819796100429 366.69 5.90451680445728
"130" "Parent" "P" "70190" 2 "PParent" "40060" "40143" "no" 18.88 2.93810316071735 457.78 6.1263887193645
"131" "Parent" "P" "70190" 3 "PParent" "40060" "40143" "no" 18.86 2.93704327720531 388.68 5.96275638297124
"132" "Parent" "P" "70190" 4 "PParent" "40060" "40143" "no" 17.87 2.88312332917134 426.03 6.05450976632503
"133" "Parent" "P" "70193" 1 "PParent" "40023" "40142" "DtF1" 17.3 2.85070650150373 334.13 5.81153013880653
"134" "Parent" "P" "70193" 2 "PParent" "40023" "40142" "DtF1" 15.75 2.75684036527164 430.28 6.0644361595638
"135" "Parent" "P" "70193" 3 "PParent" "40023" "40142" "DtF1" 13.92 2.63332665490627 429.16 6.06182980976855
"136" "Parent" "P" "70193" 4 "PParent" "40023" "40142" "DtF1" NA NA NA NA
"137" "Parent" "P" "70197" 1 "PParent" "40094" "40094" "no" 16.15 2.78192004966867 299.85 5.70328234961452
"138" "Parent" "P" "70197" 2 "PParent" "40094" "40094" "no" 18.17 2.89977188240808 312.46 5.74447646098376
"139" "Parent" "P" "70197" 3 "PParent" "40094" "40094" "no" 16.92 2.82849635417808 302.33 5.71151913602792
"140" "Parent" "P" "70197" 4 "PParent" "40094" "40094" "no" 21.5 3.06805293513362 453.77 6.11759046174268
"141" "Parent" "P" "70207" 1 "PParent" "40060" "40118" "no" 13.98 2.63762773680566 257.43 5.55074783848714
