Generation	numb	LINE	Line	pop	dam 	sire	Gener	ind	rep	ident	Bloss	no.bloss	date	asd	gad	gw	ghl	ghr	ubl	ubw	GA	UBA	SEL		
4	62	D	Down	51	3004A	3025A	F4	4009	C	51D4009C	1	1	06.06.2017	3,31	4,94	6,36	2,46	2,35	15,71	19,57	15,2958	307,4447	NA		
4	81	D	Down	51	3004A	3025A	F4	4009	C	51D4009C	2	1	17.06.2017	3	5,84	7,22	2,89	3,12	17,44	21,04	21,6961	366,9376	NA		
4	82	D	Down	51	3004A	3025A	F4	4009	C	51D4009C	3	2	17.06.2017	3,95	6,03	6,88	2,93	2,94	19,8	24,17	20,1928	478,566	NA		
4	78	D	Down	51	3004A	3025A	F4	4009	D	51D4009D	1	1	17.06.2017	2,2	5,19	6,62	2,36	2,24	17,04	20,79	15,226	354,2616	NA		
4	159	D	Down	51	3004A	3025A	F4	4009	D	51D4009D	2	1	07.07.2017	4,42	4,7	6,89	2,78	2,74	19,3	22,98	19,0164	443,514	NA		
4	196	D	Down	51	3004A	3025A	F4	4009	D	51D4009D	3	3	23.07.2017	4,26	5,81	6,39	2,21	2,19	16,44	20,19	14,058	331,9236	NA		
4	71	D	Down	51	3004A	3043B	F4	4010	C	51D4010C	1	1	13.06.2017	2,82	5,77	6,58	2,22	1,9	22	25,24	13,5548	555,28	NA		
4	134	D	Down	51	3004A	3043B	F4	4010	C	51D4010C	2	1	28.06.2017	3,05	4,58	6,61	2,58	2,47	17,7	20,15	16,69025	356,655	NA		
4	135	D	Down	51	3004A	3043B	F4	4010	C	51D4010C	3	1	28.06.2017	2,74	5,12	6,94	2,03	2,74	19,9	21,75	16,5519	432,825	NA		
4	11	D	Down	51	3004A	3063A	F4	4011	A	51D4011A	1	1	24.05.2017	3,93	4,77	7,86	3,04	3,35	19,71	23,96	25,1127	472,2516	NA		
4	79	D	Down	51	3004A	3063A	F4	4011	A	51D4011A	2	1	17.06.2017	2,84	5,08	7,04	2,7	2,87	20,77	26,7	19,6064	554,559	NA		
4	80	D	Down	51	3004A	3063A	F4	4011	A	51D4011A	3	1	17.06.2017	2,09	4,71	8,68	3,68	3,61	21,74	27,61	31,6386	600,2414	NA		
4	33	D	Down	51	3004A	3063A	F4	4011	B	51D4011B	1	1	26.05.2017	4,97	4,63	7,24	2,69	3,06	23,01	26,41	20,815	607,6941	NA		
4	96	D	Down	51	3004A	3063A	F4	4011	B	51D4011B	2	1	23.06.2017	1,06	5,85	6,74	2,56	2,59	19,8	22,97	17,3555	454,806	NA		
4	97	D	Down	51	3004A	3063A	F4	4011	B	51D4011B	3	1	23.06.2017	1,05	4,92	6,37	2,66	2,69	20,74	24,1	17,03975	499,834	NA		
4	172	D	Down	51	3004A	3064B	F4	4012	B	51D4012B	1	1	06.07.2017	3,13	5,56	5,98	1,84	2,08	20,38	21,97	11,7208	447,7486	NA		
4	132	D	Down	51	3017A	3035A	F4	4013	D	51D4013D	1	1	27.06.2017	1,86	5,59	7,35	3,18	3,01	20,87	25,19	22,74825	525,7153	NA		
4	167	D	Down	51	3017A	3035A	F4	4013	D	51D4013D	2	1	03.07.2017	2,44	4,85	5,95	2,06	2,37	18,06	22,69	13,17925	409,7814	NA		
4	207	D	Down	51	3017A	3035A	F4	4013	D	51D4013D	3	2	24.07.2017	3,98	3,92	5,41	1,48	1,54	18,2	20,15	8,1691	366,73	NA		
4	70	D	Down	51	3017A	3043B	F4	4014	D	51D4014D	1	1	12.06.2017	2,79	5,07	6,52	2,35	2,8	22,31	27,19	16,789	606,6089	NA		
4	113	D	Down	51	3017A	3043B	F4	4014	D	51D4014D	2	1	26.06.2017	2,73	5,05	6,72	2,82	2,66	22,99	25,44	18,4128	584,8656	NA		
4	200	D	Down	51	3017A	3043B	F4	4014	D	51D4014D	3	1	23.07.2017	4,02	4,88	7,67	3,02	3,34	20,32	24,33	24,3906	494,3856	NA		
