Generation 	Included 	Gener	Line	SEL	selected	line	dam	sire	plant	ident	Bloss	gad	gw	ghl	ghr	ubl	ubw	GA	UBA	lbl	lbw	INCLUDED 
1	1	F1	Ran	no	NA	Ran	51057	51365	a	Ran1_10	3	3.86	7.37	3.63	3.44	18.82	21.93	26.05	412.72	NA	NA	0
1	1	F1	Ran	no	NA	Ran	51057	51365	b	Ran1_11	1	5.83	8.54	4.44	4.27	20.61	26.65	37.19	549.26	NA	NA	0
1	1	F1	Ran	no	NA	Ran	51057	51365	b	Ran1_11	2	4.35	7.17	3.43	3.39	17.66	20.77	24.45	366.80	NA	NA	0
1	1	F1	Ran	no	NA	Ran	51057	51365	b	Ran1_11	3	4.39	6.79	3.41	3.26	20.24	23.81	22.64	481.91	NA	NA	0
1	1	F1	Ran	no	NA	Ran	51072	51534	a	Ran1_12	1	5.10	7.82	3.61	3.58	21.67	26.07	28.11	564.94	NA	NA	0
1	1	F1	Ran	no	NA	Ran	51072	51534	a	Ran1_12	2	5.21	8.70	3.81	4.00	19.50	26.31	33.97	513.05	NA	NA	0
1	1	F1	Ran	no	NA	Ran	51072	51534	a	Ran1_12	3	5.31	7.60	3.31	3.49	21.07	24.18	25.84	509.47	NA	NA	0
1	1	F1	Ran	no	NA	Ran	51081	51330	b	Ran1_13	1	5.05	7.36	3.28	3.84	17.17	20.97	26.20	360.05	NA	NA	0
1	1	F1	Ran	no	NA	Ran	51081	51330	b	Ran1_13	2	5.34	7.22	3.32	3.49	18.49	22.52	24.58	416.39	NA	NA	0
1	1	F1	Ran	no	NA	Ran	51081	51330	b	Ran1_13	3	4.87	7.71	3.26	3.48	20.31	25.09	25.98	509.58	NA	NA	0
1	1	F1	Ran	no	NA	Ran	51085	51428	a	Ran1_14	1	5.35	8.28	3.69	3.66	21.67	24.00	30.43	520.08	NA	NA	0
1	1	F1	Ran	no	NA	Ran	51085	51428	a	Ran1_14	2	4.38	8.16	3.61	3.98	18.14	21.85	30.97	396.36	NA	NA	0
1	1	F1	Ran	no	NA	Ran	51085	51428	a	Ran1_14	3	5.13	7.69	3.39	3.55	19.53	24.32	26.68	474.97	NA	NA	0
1	1	F1	Ran	no	NA	Ran	51085	51428	b	Ran1_15	1	4.43	7.05	2.95	3.19	19.31	22.26	21.64	429.84	NA	NA	0
1	1	F1	Ran	no	NA	Ran	51085	51428	b	Ran1_15	2	5.72	8.29	3.91	3.59	18.02	25.90	31.09	466.72	NA	NA	0
1	1	F1	Ran	no	NA	Ran	51085	51428	b	Ran1_15	3	4.53	7.44	3.55	2.88	16.74	19.19	23.92	321.24	NA	NA	0
1	1	F1	Ran	no	NA	Ran	51085	51428	c	Ran1_16	1	4.99	7.61	3.35	3.27	18.30	22.89	25.19	418.89	NA	NA	0
1	1	F1	Ran	no	NA	Ran	51085	51428	c	Ran1_16	2	4.82	8.10	3.88	4.14	18.94	25.77	32.48	488.08	NA	NA	0
1	1	F1	Ran	no	NA	Ran	51085	51428	c	Ran1_16	3	5.25	8.59	3.98	4.19	20.32	26.00	35.09	528.32	NA	NA	0
1	1	F1	Ran	no	NA	Ran	51090	51305	a	Ran1_17	1	4.23	7.47	3.17	3.60	18.56	22.52	25.29	417.97	NA	NA	0
