ind	Line	Gener	block	dam	sire	bloss	malefl	gad	Gwtot	GHl	GHr	UBL	UBW	GA	UBA	lbl	lbw	selected	select_rand	SEL
70401	Parent	P	3	40144	40142	4	1	3.34	6.14	2.80	2.84	20.98	20.79	17.31	436.17	NA	NA	NA	NA	no
70404	Parent	P	3	40146	40146	1	1	3.43	7.10	2.53	2.64	19.13	19.34	18.35	369.97	NA	NA	NA	NA	DtF1
70404	Parent	P	3	40146	40146	2	1	2.53	7.10	2.53	2.45	19.92	19.96	17.68	397.60	NA	NA	NA	NA	DtF1
70404	Parent	P	3	40146	40146	3	2	3.24	5.61	1.86	2.39	17.54	17.54	11.92	307.65	NA	NA	NA	NA	DtF1
70404	Parent	P	3	40146	40146	4	1	3.71	6.80	2.55	2.39	17.85	19.58	16.80	349.50	NA	NA	NA	NA	DtF1
70406	Parent	P	4	40103	40103	1	1	3.45	7.51	3.13	3.21	20.90	22.99	23.81	480.49	NA	NA	NA	NA	UtF1
70406	Parent	P	4	40103	40103	2	1	3.90	7.73	3.12	3.15	18.88	21.60	24.23	407.81	NA	NA	NA	NA	UtF1
70406	Parent	P	4	40103	40103	3	2	3.64	8.91	3.57	3.54	24.29	25.25	31.68	613.32	NA	NA	NA	NA	UtF1
70406	Parent	P	4	40103	40103	4	1	3.34	7.44	3.13	3.07	20.96	23.39	23.06	490.25	NA	NA	NA	NA	UtF1
70409	Parent	P	4	40114	40153	1	1	3.00	5.94	2.46	2.79	14.84	16.49	15.59	244.71	NA	NA	NA	NA	DtF1
70409	Parent	P	4	40114	40153	2	1	3.25	7.06	3.05	2.91	20.29	19.87	21.04	403.16	NA	NA	NA	NA	DtF1
70409	Parent	P	4	40114	40153	3	1	3.28	6.08	2.49	2.42	18.87	17.78	14.93	335.51	NA	NA	NA	NA	DtF1
70409	Parent	P	4	40114	40153	4	1	3.53	5.58	2.56	2.55	17.26	15.36	14.26	265.11	NA	NA	NA	NA	DtF1
70410	Parent	P	4	40153	40103	1	1	3.35	8.74	3.34	3.45	23.86	24.01	29.67	572.88	NA	NA	NA	NA	UtF1
70410	Parent	P	4	40153	40103	2	1	3.73	6.38	2.75	2.41	22.52	21.29	16.46	479.45	NA	NA	NA	NA	UtF1
70410	Parent	P	4	40153	40103	3	1	3.42	6.96	2.87	2.77	22.12	24.15	19.63	534.20	NA	NA	NA	NA	UtF1
70410	Parent	P	4	40153	40103	4	1	3.66	7.79	3.43	3.38	20.51	21.84	26.52	447.94	NA	NA	NA	NA	UtF1
70416	Parent	P	5	40044	40090	1	1	2.96	6.19	2.81	3.06	15.11	16.99	18.17	256.72	NA	NA	NA	NA	DtF1
70416	Parent	P	5	40044	40090	2	1	2.58	5.05	2.17	1.99	14.97	14.14	10.50	211.68	NA	NA	NA	NA	DtF1
70416	Parent	P	5	40044	40090	3	2	3.23	6.65	2.75	2.84	16.32	16.87	18.59	275.32	NA	NA	NA	NA	DtF1
70416	Parent	P	5	40044	40090	4	1	2.66	6.16	2.85	2.83	17.63	18.56	17.49	327.21	NA	NA	NA	NA	DtF1
70420	Parent	P	5	40090	40090	1	1	2.54	6.27	2.40	2.45	18.31	19.43	15.20	355.76	NA	NA	NA	NA	DtF1
70420	Parent	P	5	40090	40090	2	1	2.79	6.18	2.42	2.60	22.19	20.48	15.51	454.45	NA	NA	NA	NA	DtF1
70420	Parent	P	5	40090	40090	3	2	3.35	5.18	2.36	2.52	19.57	17.38	12.64	340.13	NA	NA	NA	NA	DtF1
70420	Parent	P	5	40090	40090	4	1	2.46	5.94	2.34	2.45	20.76	20.52	14.23	426.00	NA	NA	NA	NA	DtF1
70423	Parent	P	5	40148	40090	1	1	2.45	6.05	2.59	2.59	16.27	18.08	15.67	294.16	NA	NA	NA	NA	DtF1
70423	Parent	P	5	40148	40090	2	1	2.90	6.92	2.71	2.82	17.56	17.73	19.13	311.34	NA	NA	NA	NA	DtF1
70423	Parent	P	5	40148	40090	3	2	3.56	6.07	2.55	2.37	18.97	19.98	14.93	379.02	NA	NA	NA	NA	DtF1
70423	Parent	P	5	40148	40090	4	1	2.90	6.23	2.44	2.49	18.08	17.55	15.36	317.30	NA	NA	NA	NA	DtF1
70428	Parent	P	6	40108	40018	1	1	3.27	6.93	2.77	2.80	16.97	19.14	19.30	324.81	NA	NA	NA	NA	no
70428	Parent	P	6	40108	40018	2	1	3.63	6.24	2.73	2.46	16.99	18.44	16.19	313.30	NA	NA	NA	NA	no
70428	Parent	P	6	40108	40018	3	1	2.96	7.32	2.96	2.88	19.01	20.79	21.37	395.22	NA	NA	NA	NA	no
70428	Parent	P	6	40108	40018	4	1	2.89	6.77	2.59	2.74	18.14	20.44	18.04	370.78	NA	NA	NA	NA	no
70431	Parent	P	7	40089	40124	1	1	2.80	6.68	2.61	2.67	15.63	19.21	17.64	300.25	NA	NA	NA	NA	no
70431	Parent	P	7	40089	40124	2	1	3.14	7.19	3.02	3.13	16.65	20.21	22.11	336.50	NA	NA	NA	NA	no
70431	Parent	P	7	40089	40124	3	1	3.01	5.73	2.49	2.70	15.52	16.01	14.87	248.48	NA	NA	NA	NA	no
70431	Parent	P	7	40089	40124	4	1	3.16	7.56	3.29	2.78	18.99	21.27	22.94	403.92	NA	NA	NA	NA	no
70433	Parent	P	8	40022	40136	1	1	3.89	7.07	1.99	2.76	20.35	21.16	16.79	430.61	NA	NA	NA	NA	no
70433	Parent	P	8	40022	40136	2	1	3.93	7.36	3.12	3.11	20.61	20.58	22.93	424.15	NA	NA	NA	NA	no
70433	Parent	P	8	40022	40136	3	1	3.58	6.53	2.43	2.67	19.85	19.22	16.65	381.52	NA	NA	NA	NA	no
70433	Parent	P	8	40022	40136	4	2	4.34	6.57	2.70	2.60	20.16	19.62	17.41	395.54	NA	NA	NA	NA	no
70434	Parent	P	8	40028	40022	1	1	3.76	6.45	2.26	2.42	19.45	19.62	15.09	381.61	NA	NA	NA	NA	no
70434	Parent	P	8	40028	40022	2	1	3.76	7.31	3.15	2.27	20.63	20.04	19.81	413.43	NA	NA	NA	NA	no
70434	Parent	P	8	40028	40022	3	1	3.24	6.83	2.68	2.77	20.22	20.30	18.61	410.47	NA	NA	NA	NA	no
70434	Parent	P	8	40028	40022	4	1	3.82	6.47	2.46	2.76	19.67	20.89	16.89	410.91	NA	NA	NA	NA	no
70435	Parent	P	8	40063	40022	1	1	3.72	7.67	3.19	3.28	22.41	25.34	24.81	567.87	NA	NA	NA	NA	no
70435	Parent	P	8	40063	40022	2	1	3.80	6.31	2.37	2.48	20.57	20.68	15.30	425.39	NA	NA	NA	NA	no
70435	Parent	P	8	40063	40022	3	2	3.44	7.02	2.71	2.71	20.92	21.91	19.02	458.36	NA	NA	NA	NA	no
70435	Parent	P	8	40063	40022	4	1	3.01	7.91	2.74	3.02	21.48	23.17	22.78	497.69	NA	NA	NA	NA	no
70439	Parent	P	8	40136	40028	1	1	2.85	5.45	2.07	2.88	17.85	19.43	13.49	346.83	NA	NA	NA	NA	DtF1
70439	Parent	P	8	40136	40028	2	1	2.52	5.43	2.26	2.01	19.38	16.66	11.59	322.87	NA	NA	NA	NA	DtF1
70439	Parent	P	8	40136	40028	3	1	2.84	6.66	2.46	2.86	20.16	20.36	17.72	410.46	NA	NA	NA	NA	DtF1
70439	Parent	P	8	40136	40028	4	1	2.76	4.87	1.99	1.89	19.46	17.86	9.45	347.56	NA	NA	NA	NA	DtF1
70440	Parent	P	8	40136	40150	1	1	3.21	6.47	2.63	2.36	16.12	18.56	16.14	299.19	NA	NA	NA	NA	no
70440	Parent	P	8	40136	40150	2	1	3.54	6.83	2.77	2.62	17.70	20.41	18.41	361.26	NA	NA	NA	NA	no
70440	Parent	P	8	40136	40150	3	1	3.49	6.93	2.78	2.78	21.11	20.98	19.27	442.91	NA	NA	NA	NA	no
