No.	line	Line	pop	dam	sire	Gener	ind1	rep	ind	bloss	malefl	date	ASD	GAD	GW	GHl	GHr	UBL	UBW	GA	BA	SEL		
95	D	Down	70	70D3009	D3060	F4	4011	B	70D4011B	2	2	28.07.2016	0	3,28	7,17	2,18	2,47	19,69	20,46	16,67025	402,8574	NA		
164	D	Down	70	70D3009	D3060	F4	4011	B	70D4011B	3	1	10.08.2016	0	2,91	6,49	2,6	2,6	18,93	19,01	16,874	359,8593	NA		
14	D	Down	70	70D3009	D3064	F4	4012	B	70D4012B	1	2	18.07.2016	0,95	1,81	6,2	2,58	2,4	19,09	19,27	15,438	367,8643	NA		
61	D	Down	70	70D3009	D3064	F4	4012	B	70D4012B	2	2	27.07.2016	0	2,75	5,48	2,16	2,41	17,77	17,48	12,5218	310,6196	NA		
119	D	Down	70	70D3009	D3064	F4	4012	B	70D4012B	3	1	05.08.2016	0,67	2,34	5,28	1,96	2,18	16,24	14,69	10,9296	238,5656	NA		
111	D	Down	70	70D3010	D3002	F4	4013	B	70D4013B	1	2	29.07.2016	0	2,5	6,79	2,29	2,46	19,11	19,69	16,12625	376,2759	NA		
213	D	Down	70	70D3010	D3002	F4	4013	B	70D4013B	2	1	28.08.2016	0	2,34	6,16	2,31	2,32	19,38	19,56	14,2604	379,0728	NA		
214	D	Down	70	70D3010	D3002	F4	4013	B	70D4013B	3	2	28.08.2016	2,01	2,61	5,52	1,77	1,94	19,93	18,3	10,2396	364,719	NA		
63	D	Down	70	70D3010	D3006B	F4	4014	A	70D4014A	1	2	27.07.2016	1,59	3,05	5,55	2,47	1,9	20,65	19,91	12,12675	411,1415	NA		
118	D	Down	70	70D3010	D3006B	F4	4014	A	70D4014A	2	1	05.08.2016	0,96	2,73	6,35	2	2,32	22,17	21,01	13,716	465,7917	NA		
154	D	Down	70	70D3010	D3006B	F4	4014	A	70D4014A	3	1	09.08.2016	0,66	2,64	5,32	2,14	1,98	18,8	16,89	10,9592	317,532	NA		
49	D	Down	70	70D3010	D3006B	F4	4014	B	70D4014B	1	1	26.07.2016	0,2	2,52	6,88	2,85	2,67	22,47	23,75	18,9888	533,6625	NA		
106	D	Down	70	70D3010	D3006B	F4	4014	B	70D4014B	2	1	29.07.2016	0	3,32	6,19	2,17	2,27	21,14	18,74	13,7418	396,1636	NA		
128	D	Down	70	70D3010	D3006B	F4	4014	B	70D4014B	3	1	07.08.2016	0	3,05	6,4	2,66	2,47	21,39	20,59	16,416	440,4201	NA		
5	D	Down	70	70D3010	D3029	F4	4015	A	70D4015A	1	1	15.07.2016	0,85	2,88	6,48	2,27	2,52	22,44	20,79	15,5196	466,5276	NA		
28	D	Down	70	70D3010	D3029	F4	4015	A	70D4015A	2	1	21.07.2016	1,08	2,66	5,99	2,32	2,38	21,4	21,32	14,0765	456,248	NA		
10	D	Down	70	70D3010	D3029	F4	4015	A	70D4015A	3	2	16.07.2016	2,54	2,96	6,16	2,14	2,06	23,71	21,14	12,936	501,2294	NA		
