No.	line	Line	pop	dam	sire	Gener	ind1	rep	ind	bloss	malefl	date	ASD	GAD	GW	GHl	GHr	UBL	UBW	GA	BA	SEL		
222	D	Down	70	70D3049	D3029	F4	4042	B	70D4042B	3	2	28.08.2016	2,66	3,01	6,05	2,18	2,22	21,68	21,74	13,31	471,3232	NA		
64	D	Down	70	70D3049	D3036	F4	4043	A	70D4043A	1	1	27.07.2016	1,5	2,54	6,45	2,4	2,47	20,21	20,71	15,70575	418,5491	NA		
159	D	Down	70	70D3049	D3036	F4	4043	A	70D4043A	2	2	10.08.2016	1,01	2,74	5,89	2,19	2,17	21,78	19,55	12,8402	425,799	NA		
194	D	Down	70	70D3049	D3036	F4	4043	A	70D4043A	3	3	24.08.2016	0	3,08	6,42	2,61	2,5	20,62	20,84	16,4031	429,7208	NA		
20	D	Down	70	70D3049	D3058	F4	4044	A	70D4044A	1	1	19.07.2016	2,08	3,31	5,81	2,17	2,42	18,34	17,48	13,33395	320,5832	NA		
147	D	Down	70	70D3049	D3058	F4	4044	A	70D4044A	2	1	08.08.2016	0	2,54	5,72	2,07	2,33	18,43	18,37	12,584	338,5591	NA		
186	D	Down	70	70D3049	D3058	F4	4044	A	70D4044A	3	1	23.08.2016	0	2,61	5,15	1,93	2,15	18,22	15,05	10,506	274,211	NA		
88	D	Down	70	70D3053	D3002	F4	4045	A	70D4045A	1	1	28.07.2016	0	2,33	5,49	2,06	2,12	15,69	14,52	11,4741	227,8188	NA		
146	D	Down	70	70D3053	D3002	F4	4045	A	70D4045A	2	2	08.08.2016	0	2,32	5,59	2,06	2,29	16,44	15,23	12,15825	250,3812	NA		
225	D	Down	70	70D3053	D3002	F4	4045	A	70D4045A	3	1	29.08.2016	0	2,31	5,42	1,93	2,18	14,77	13,95	11,1381	206,0415	NA		
8	D	Down	70	70D3053	D3002	F4	4045	B	70D4045B	1	1	16.07.2016	0	2,76	5,5	2,25	2,43	16,58	15,08	12,87	250,0264	NA		
26	D	Down	70	70D3053	D3002	F4	4045	B	70D4045B	2	1	21.07.2016	0	2,06	4,25	1,85	1,99	15,37	13,68	8,16	210,2616	NA		
112	D	Down	70	70D3053	D3002	F4	4045	B	70D4045B	3	1	29.07.2016	0	2,24	5,27	2,05	2,13	14,25	12,82	11,0143	182,685	NA		
25	D	Down	70	70D3053	D3009	F4	4046	A	70D4046A	1	1	21.07.2016	0	2,06	5,33	2,51	2,41	15,52	15,73	13,1118	244,1296	NA		
57	D	Down	70	70D3053	D3009	F4	4046	A	70D4046A	2	1	26.07.2016	0	2,24	5,08	2,1	2,04	14,04	12,65	10,5156	177,606	NA		
70	D	Down	70	70D3053	D3009	F4	4046	A	70D4046A	3	3	27.07.2016	0,34	2,81	5,29	2,14	1,98	14,3	13,45	10,8974	192,335	NA		
37	D	Down	70	70D3053	D3009	F4	4046	B	70D4046B	1	1	22.07.2016	0	2,77	6,71	2,67	2,67	15,92	16,16	17,9157	257,2672	NA		
93	D	Down	70	70D3053	D3009	F4	4046	B	70D4046B	2	1	28.07.2016	0	3,18	6,88	2,21	2,23	15,84	14,93	15,2736	236,4912	NA		
94	D	Down	70	70D3053	D3009	F4	4046	B	70D4046B	3	1	28.07.2016	0,63	2,8	6,47	2,67	2,53	15,72	14,83	16,822	233,1276	NA		
96	D	Down	70	70D3053	D3036	F4	4047	A	70D4047A	1	1	28.07.2016	0,3	1,62	5,93	2,1	2,69	16,48	15,29	14,20235	251,9792	NA		
191	D	Down	70	70D3053	D3036	F4	4047	A	70D4047A	2	1	23.08.2016	NA	2,62	4,99	2,27	2,3	16,87	15,02	11,40215	253,3874	NA		
195	D	Down	70	70D3053	D3036	F4	4047	A	70D4047A	3	1	24.08.2016	0	2,19	5,73	2,08	2,27	15,85	15,08	12,46275	239,018	NA		
7	D	Down	70	70D3053	D3036	F4	4047	B	70D4047B	1	1	15.07.2016	0	2,55	6,6	2,49	2,58	18,92	18,36	16,731	347,3712	NA		
15	D	Down	70	70D3053	D3036	F4	4047	B	70D4047B	2	2	18.07.2016	0,7	2,74	6,18	2,37	2,55	19,9	18,88	15,2028	375,712	NA		
22	D	Down	70	70D3053	D3036	F4	4047	B	70D4047B	3	2	21.07.2016	0	2,74	5,6	2,18	2,57	18,78	18,17	13,3	341,2326	NA		
85	D	Down	70	70D3053	D3060	F4	4048	B	70D4048B	1	1	28.07.2016	0	2,78	5,22	1,81	1,99	13,89	13,86	9,918	192,5154	NA		
139	D	Down	70	70D3053	D3060	F4	4048	B	70D4048B	2	2	08.08.2016	0	2,51	5,34	1,92	2,07	14,56	13,43	10,6533	195,5408	NA		
140	D	Down	70	70D3053	D3060	F4	4048	B	70D4048B	3	3	08.08.2016	0	2,41	5,18	2,08	2,28	15,02	15,12	11,2924	227,1024	NA		
120	D	Down	70	70D3054	D3009	F4	4049	A	70D4049A	1	1	05.08.2016	0	2,64	5,41	2,34	2,45	17,73	17,19	12,95695	304,7787	NA		
121	D	Down	70	70D3054	D3009	F4	4049	A	70D4049A	2	1	05.08.2016	0	2,77	6,08	2,72	2,35	18,95	18,5	15,4128	350,575	NA		
156	D	Down	70	70D3054	D3009	F4	4049	A	70D4049A	3	1	09.08.2016	0,84	2,68	5,48	2,21	2,15	16,28	15,12	11,9464	246,1536	NA		
38	D	Down	70	70D3054	D3010	F4	4050	A	70D4050A	1	1	25.07.2016	0	2,71	5,6	2,21	2,24	20,44	18,39	12,46	375,8916	NA		
39	D	Down	70	70D3054	D3010	F4	4050	A	70D4050A	2	1	25.07.2016	0	2,4	6,02	2,54	2,38	19,04	17,19	14,8092	327,2976	NA		
NA	D	Down	70	70D3054	D3010	F4	4050	A	70D4050A	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		
40	D	Down	70	70D3054	D3023	F4	4051	A	70D4051A	1	2	25.07.2016	0	3,47	5,52	2,02	2,23	19,33	16,93	11,73	327,2569	NA		
103	D	Down	70	70D3054	D3023	F4	4051	A	70D4051A	2	2	29.07.2016	0,2	2,14	5,18	2,09	2,1	18,47	16,9	10,8521	312,143	NA		
104	D	Down	70	70D3054	D3023	F4	4051	A	70D4051A	3	3	29.07.2016	0	3,03	5,04	1,98	2,19	19,62	17,38	10,5084	340,9956	NA		
75	D	Down	70	70D3054	D3023	F4	4051	B	70D4051B	1	2	28.07.2016	0,72	3,13	5,47	1,91	1,87	18,5	17,29	10,3383	319,865	NA		
124	D	Down	70	70D3054	D3023	F4	4051	B	70D4051B	2	1	07.08.2016	0	2,99	5,9	2,56	2,45	20,25	19,4	14,7795	392,85	NA		
125	D	Down	70	70D3054	D3023	F4	4051	B	70D4051B	3	1	07.08.2016	0	3,08	6,36	2,34	2,46	21,42	21,52	15,264	460,9584	NA		
143	D	Down	70	70D3058	D3002	F4	4053	B	70D4053B	1	2	08.08.2016	0,2	3,13	5,91	2,2	2,5	17,92	17,96	13,8885	321,8432	NA		
183	D	Down	70	70D3058	D3002	F4	4053	B	70D4053B	2	1	23.08.2016	0	3,06	6,2	2,57	2,54	18,81	18,29	15,841	344,0349	NA		
196	D	Down	70	70D3058	D3002	F4	4053	B	70D4053B	3	1	24.08.2016	0,94	2,53	5,76	2,4	2,29	16,16	16,15	13,5072	260,984	NA		
42	D	Down	70	70D3058	D3037	F4	4054	A	70D4054A	1	1	25.07.2016	0	3,12	5,5	2,09	2,06	18,11	17,19	11,4125	311,3109	NA		
126	D	Down	70	70D3058	D3037	F4	4054	A	70D4054A	2	1	07.08.2016	0,4	3,02	4,8	1,94	1,85	17,98	15,92	9,096	286,2416	NA		
127	D	Down	70	70D3058	D3037	F4	4054	A	70D4054A	3	1	07.08.2016	0	2,33	5,36	2,11	2,49	20,16	18,96	12,328	382,2336	NA		
30	D	Down	70	70D3058	D3048	F4	4055	A	70D4055A	1	1	21.07.2016	0	2,25	6,63	2,8	2,38	19,28	18,74	17,1717	361,3072	NA		
89	D	Down	70	70D3058	D3048	F4	4055	A	70D4055A	2	1	28.07.2016	0	2,72	5,72	2,13	2,04	17,31	17,01	11,9262	294,4431	NA		
212	D	Down	70	70D3058	D3048	F4	4055	A	70D4055A	3	1	28.08.2016	1,32	3,1	5,51	2,38	2,39	18,85	16,23	13,14135	305,9355	NA		
23	D	Down	70	70D3058	D3048	F4	4055	B	70D4055B	1	2	21.07.2016	0	2,11	5,71	2,11	2,03	18,41	18,52	11,8197	340,9532	NA		
87	D	Down	70	70D3058	D3048	F4	4055	B	70D4055B	2	1	28.07.2016	0,42	3,2	4,99	1,9	2	18,67	17,58	9,7305	328,2186	NA		
142	D	Down	70	70D3058	D3048	F4	4055	B	70D4055B	3	1	08.08.2016	0	2,63	5,77	2,3	2,32	18,43	17,71	13,3287	326,3953	NA		
60	D	Down	70	70D3058	D3053	F4	4056	B	70D4056B	1	1	26.07.2016	0	2,69	5,67	2,18	2,1	18,43	17,84	12,1338	328,7912	NA		
144	D	Down	70	70D3058	D3053	F4	4056	B	70D4056B	2	1	08.08.2016	0	3,12	5,8	2,37	2,68	18,13	16,59	14,645	300,7767	NA		
145	D	Down	70	70D3058	D3053	F4	4056	B	70D4056B	3	1	08.08.2016	0	2,81	5,85	2,51	2,63	18,19	18,42	15,0345	335,0598	NA		
90	D	Down	70	70D3060	D3002	F4	4057	A	70D4057A	1	1	28.07.2016	0	3,08	6,43	2,37	2,17	20,2	19,74	14,5961	398,748	NA		
109	D	Down	70	70D3060	D3002	F4	4057	A	70D4057A	2	1	29.07.2016	0	2,94	6,59	2,36	1,96	18,69	18,5	14,2344	345,765	NA		
110	D	Down	70	70D3060	D3002	F4	4057	A	70D4057A	3	2	29.07.2016	0	3,73	5,58	2,13	1,91	18,55	18,83	11,2716	349,2965	NA		
101	D	Down	70	70D3060	D3002	F4	4057	B	70D4057B	1	1	28.07.2016	0	3,3	5,83	2,09	2,35	20,39	18,93	12,9426	385,9827	NA		
102	D	Down	70	70D3060	D3002	F4	4057	B	70D4057B	2	1	28.07.2016	2,97	3,81	4,8	1,71	1,51	16,23	15,14	7,728	245,7222	NA		
217	D	Down	70	70D3060	D3002	F4	4057	B	70D4057B	3	1	28.08.2016	0	3,2	6,77	2,2	2,34	19,21	18,78	15,3679	360,7638	NA		
117	D	Down	70	70D3060	D3010	F4	4058	A	70D4058A	1	2	05.08.2016	0	2,82	5,5	2,02	1,93	21,4	19,18	10,8625	410,452	NA		
193	D	Down	70	70D3060	D3010	F4	4058	A	70D4058A	2	1	24.08.2016	0	2,52	4,85	1,89	1,87	17,35	16,02	9,118	277,947	NA		
223	D	Down	70	70D3060	D3010	F4	4058	A	70D4058A	3	1	28.08.2016	0,78	3,19	4,46	2,02	1,29	17,57	16,8	7,3813	295,176	NA		
72	D	Down	70	70D3060	D3029	F4	4059	A	70D4059A	1	2	28.07.2016	0,73	2,74	6,02	2,23	2,37	21,29	19,51	13,846	415,3679	NA		
207	D	Down	70	70D3060	D3029	F4	4059	A	70D4059A	2	1	28.08.2016	0,65	2,6	5,61	2,02	2,13	19,35	18,48	11,64075	357,588	NA		
232	D	Down	70	70D3060	D3029	F4	4059	A	70D4059A	3	1	30.08.2016	0	2,82	5,15	1,58	1,83	19,42	19,07	8,78075	370,3394	NA		
86	D	Down	70	70D3060	D3029	F4	4059	B	70D4059B	1	1	28.07.2016	0,2	3,32	6,17	2,1	2,06	22,65	20,65	12,8336	467,7225	NA		
203	D	Down	70	70D3060	D3029	F4	4059	B	70D4059B	2	1	24.08.2016	0,79	3,14	5,6	2	2,12	18,21	15,08	11,536	274,6068	NA		
211	D	Down	70	70D3060	D3029	F4	4059	B	70D4059B	3	2	28.08.2016	1,27	3,54	4,73	1,67	2,14	19,23	17,43	9,01065	335,1789	NA		
237	D	Down	70	70D3060	D3049	F4	4060	B	70D4060B	1	1	03.09.2016	0	2,5	5,65	2,05	2,04	19,38	17,85	11,55425	345,933	NA		
238	D	Down	70	70D3060	D3049	F4	4060	B	70D4060B	2	2	04.09.2016	0,76	2,48	5,14	2,14	2,16	20,44	17,92	11,051	366,2848	NA		
239	D	Down	70	70D3060	D3049	F4	4060	B	70D4060B	3	3	04.09.2016	1,65	2,55	5,35	2,12	1,95	17,92	17,96	10,88725	321,8432	NA		
59	D	Down	70	70D3064	D3010	F4	4061	B	70D4061B	1	2	26.07.2016	0,51	3,11	7	2,14	2,44	22,77	21,89	16,03	498,4353	NA		
215	D	Down	70	70D3064	D3010	F4	4061	B	70D4061B	2	1	28.08.2016	0,84	3,73	6,46	1,87	2,37	22,88	20,92	13,6952	478,6496	NA		
216	D	Down	70	70D3064	D3010	F4	4061	B	70D4061B	3	2	28.08.2016	0	3,68	5,73	2,52	2,47	21,16	19,72	14,29635	417,2752	NA		
73	D	Down	70	70D3064	D3049	F4	4062	A	70D4062A	1	2	28.07.2016	0,65	2,3	5,61	1,98	2,1	19,94	17,74	11,4444	353,7356	NA		
162	D	Down	70	70D3064	D3049	F4	4062	A	70D4062A	2	3	10.08.2016	1,6	2,27	5,93	2,07	1,91	20,24	18,46	11,8007	373,6304	NA		
206	D	Down	70	70D3064	D3049	F4	4062	A	70D4062A	3	2	24.08.2016	0,4	2,81	5,66	2,13	1,78	19,25	18,16	11,0653	349,58	NA		
80	D	Down	70	70D3064	D3053	F4	4063	A	70D4063A	1	2	28.07.2016	0	2,48	5,69	1,85	2,01	16,49	14,06	10,9817	231,8494	NA		
166	D	Down	70	70D3064	D3053	F4	4063	A	70D4063A	2	1	11.08.2016	0	2,17	5,87	2,14	2,17	17,09	14,34	12,64985	245,0706	NA		
168	D	Down	70	70D3064	D3053	F4	4063	A	70D4063A	3	3	11.08.2016	0	2,14	6,28	2,44	2,49	17,07	15,36	15,4802	262,1952	NA		
184	D	Down	70	70D3064	D3054	F4	4064	A	70D4064A	1	1	23.08.2016	0	3,04	7,42	2,68	2,66	20,87	19,39	19,8114	404,6693	NA		
204	D	Down	70	70D3064	D3054	F4	4064	A	70D4064A	2	3	24.08.2016	0	3,37	6,28	2,38	2,44	22,98	20,7	15,1348	475,686	NA		
234	D	Down	70	70D3064	D3054	F4	4064	A	70D4064A	3	1	31.08.2016	0	3,37	7,2	2,77	2,96	23,07	22,65	20,628	522,5355	NA		
79	U	Up	70	U3001	U3023	F4	4001	A	70U4001A	1	2	28.07.2016	0,1	3,9	7,67	3,28	3,12	21,41	23,15	24,544	495,6415	NA		
93	U	Up	70	U3001	U3023	F4	4001	A	70U4001A	2	1	29.07.2016	0	4,32	7,3	2,97	2,92	21,28	22,24	21,4985	473,2672	NA		
112	U	Up	70	U3001	U3023	F4	4001	A	70U4001A	3	2	07.08.2016	0,2	3,94	7,48	3,02	3,17	21,71	21,79	23,1506	473,0609	NA		
116	U	Up	70	U3001	U3024B	F4	4002	B	70U4002B	1	2	08.08.2016	0	3,84	8,35	3,4	3,51	23,54	23,83	28,84925	560,9582	NA		
36	U	Up	70	U3001	U3024B	F4	4002	B	70U4002B	2	1	25.07.2016	0	3,6	7,71	2,88	3,15	20,19	21,99	23,24565	443,9781	NA		
172	U	Up	70	U3001	U3024B	F4	4002	B	70U4002B	3	1	23.08.2016	0	3,68	7,66	3	2,91	21,14	19,12	22,6353	404,1968	NA		
119	U	Up	70	U3001	U3027	F4	4003	A	70U4003A	1	1	08.08.2016	0	3,69	7,76	3,34	3,43	20,48	19,68	26,2676	403,0464	NA		
170	U	Up	70	U3001	U3027	F4	4003	A	70U4003A	2	1	23.08.2016	0	3,74	7,41	3,24	3,05	20,62	20,46	23,30445	421,8852	NA		
195	U	Up	70	U3001	U3027	F4	4003	A	70U4003A	3	1	24.08.2016	0	4,03	7,12	3,04	3,37	20,61	19,9	22,8196	410,139	NA		
42	U	Up	70	U3001	U3060B	F4	4004	A	70U4004A	1	2	25.07.2016	0	3,15	6,61	2,85	2,91	21,7	23,14	19,0368	502,138	NA		
113	U	Up	70	U3001	U3060B	F4	4004	A	70U4004A	2	3	08.08.2016	0	2,95	7,74	3,37	3,28	24	24,69	25,7355	592,56	NA		
190	U	Up	70	U3001	U3060B	F4	4004	A	70U4004A	3	1	24.08.2016	0,1	2,9	6,39	2,79	2,88	21,37	22,65	18,11565	484,0305	NA		
115	U	Up	70	U3001	U3060B	F4	4004	B	70U4004B	1	1	08.08.2016	0	2,58	7,53	3,22	3,22	19,41	19,93	24,2466	386,8413	NA		
227	U	Up	70	U3001	U3060B	F4	4004	B	70U4004B	2	3	29.08.2016	0,22	3,31	6,94	2,87	2,97	20,11	19,83	20,2648	398,7813	NA		
240	U	Up	70	U3001	U3060B	F4	4004	B	70U4004B	3	1	31.08.2016	0	3,14	7,15	2,74	3,15	20,27	21,24	21,05675	430,5348	NA		
16	U	Up	70	U3003	U3028B	F4	4006	B	70U4006B	1	1	20.07.2016	0	3,32	7,39	2,81	3,07	19,53	23,7	21,7266	462,861	NA		
30	U	Up	70	U3003	U3028B	F4	4006	B	70U4006B	2	1	22.07.2016	0	3,8	6,19	2,64	2,92	18,87	19,54	17,2082	368,7198	NA		
47	U	Up	70	U3003	U3028B	F4	4006	B	70U4006B	3	1	26.07.2016	0	3,71	6,59	2,92	3,12	19,69	22,39	19,9018	440,8591	NA		
31	U	Up	70	U3003	U3008B	F4	4008	A	70U4008A	1	1	22.07.2016	0	3,87	8,24	2,86	2,61	19,85	20,55	22,5364	407,9175	NA		
157	U	Up	70	U3003	U3008B	F4	4008	A	70U4008A	2	2	10.08.2016	0	4,26	7,28	3	3,1	20,78	22,02	22,204	457,5756	NA		
158	U	Up	70	U3003	U3008B	F4	4008	A	70U4008A	3	2	10.08.2016	0	3,81	6,95	2,86	2,59	19,43	19,17	18,93875	372,4731	NA		
49	U	Up	70	U3003	U3008B	F4	4008	B	70U4008B	1	1	26.07.2016	0,3	4,05	7,89	2,92	2,97	21,33	24,2	23,23605	516,186	NA		
61	U	Up	70	U3003	U3008B	F4	4008	B	70U4008B	2	1	27.07.2016	0,61	3,84	7,78	2,89	3,05	21,31	22,85	23,1066	486,9335	NA		
62	U	Up	70	U3003	U3008B	F4	4008	B	70U4008B	3	2	27.07.2016	2,23	3,86	7,74	2,65	2,62	21,47	24,47	20,3949	525,3709	NA		
54	U	Up	70	U3023	U3003	F4	4009	A	70U4009A	1	1	26.07.2016	1,18	3,55	6,17	2,43	2,46	20,59	21,57	15,08565	444,1263	NA		
219	U	Up	70	U3023	U3003	F4	4009	A	70U4009A	2	1	29.08.2016	0	2,89	6,7	2,59	2,51	17,98	18,43	17,085	331,3714	NA		
220	U	Up	70	U3023	U3003	F4	4009	A	70U4009A	3	1	29.08.2016	0	3,47	6,86	2,53	2,71	19,45	19,76	17,9732	384,332	NA		
74	U	Up	70	U3023	U3003	F4	4009	B	70U4009B	1	1	28.07.2016	0	3,68	6,51	2,61	2,72	17,8	19,56	17,34915	348,168	NA		
183	U	Up	70	U3023	U3003	F4	4009	B	70U4009B	2	1	24.08.2016	0	3,66	6,69	2,79	2,66	18	19,64	18,23025	353,52	NA		
184	U	Up	70	U3023	U3003	F4	4009	B	70U4009B	3	3	24.08.2016	0	3,92	7,55	3,16	3,27	20,14	22,2	24,27325	447,108	NA		
25	U	Up	70	U3023	U3032	F4	4010	A	70U4010A	1	1	21.07.2016	0	3,43	7,75	3,08	3,07	20,52	22,49	23,83125	461,4948	NA		
212	U	Up	70	U3023	U3032	F4	4010	A	70U4010A	2	1	28.08.2016	0,87	3,68	6,64	3,07	2,93	18,54	19,09	19,92	353,9286	NA		
213	U	Up	70	U3023	U3032	F4	4010	A	70U4010A	3	2	28.08.2016	0,87	3,98	6,43	2,87	2,96	21,22	20,59	18,74345	436,9198	NA		
87	U	Up	70	U3023	U3032	F4	4010	B	70U4010B	1	1	29.07.2016	0,45	2,94	6,81	2,69	2,66	21,82	21,34	18,21675	465,6388	NA		
98	U	Up	70	U3023	U3032	F4	4010	B	70U4010B	2	1	05.08.2016	0	3,19	6,84	2,82	2,63	19,73	17,69	18,639	349,0237	NA		
147	U	Up	70	U3023	U3032	F4	4010	B	70U4010B	3	1	10.08.2016	0,61	3,06	7,07	2,84	2,91	20,02	18,85	20,32625	377,377	NA		
53	U	Up	70	U3023	U3035	F4	4011	A	70U4011A	1	1	26.07.2016	0	3,82	6,8	2,94	2,89	20,52	21,87	19,822	448,7724	NA		
199	U	Up	70	U3023	U3035	F4	4011	A	70U4011A	2	1	24.08.2016	0	3,45	7,05	3,05	3,02	21,9	22,27	21,39675	487,713	NA		
235	U	Up	70	U3023	U3035	F4	4011	A	70U4011A	4	2	30.08.2016	0,68	4,1	6,95	2,54	2,76	21,39	21,58	18,4175	461,5962	NA		
35	U	Up	70	U3023	U3035	F4	4011	B	70U4011B	1	1	25.07.2016	0	3,23	7,16	2,93	2,55	21,35	21,2	19,6184	452,62	NA		
149	U	Up	70	U3023	U3035	F4	4011	B	70U4011B	2	1	10.08.2016	0	3,92	7,26	2,64	2,54	22,58	21,33	18,8034	481,6314	NA		
150	U	Up	70	U3023	U3035	F4	4011	B	70U4011B	3	2	10.08.2016	0,91	3,27	6,56	2,59	2,42	21,39	20,38	16,4328	435,9282	NA		
80	U	Up	70	U3023	U3056	F4	4012	A	70U4012A	1	1	28.07.2016	0,8	4,13	7,94	3,01	3,16	21,07	23,35	24,4949	491,9845	NA		
138	U	Up	70	U3023	U3056	F4	4012	A	70U4012A	2	1	09.08.2016	0	3,7	7,51	2,83	2,76	20,23	20,69	20,99045	418,5587	NA		
139	U	Up	70	U3023	U3056	F4	4012	A	70U4012A	3	1	09.08.2016	0	4,19	7,12	3,11	2,9	20,6	20,05	21,3956	413,03	NA		
121	U	Up	70	U3023	U3056	F4	4012	B	70U4012B	1	1	08.08.2016	0	3,72	6,67	2,62	2,85	21,28	20,34	18,24245	432,8352	NA		
186	U	Up	70	U3023	U3056	F4	4012	B	70U4012B	2	3	24.08.2016	0,43	4,24	7,83	3,15	3,29	22,28	24,05	25,2126	535,834	NA		
204	U	Up	70	U3023	U3056	F4	4012	B	70U4012B	3	1	28.08.2016	0	3,84	7,36	2,8	2,99	21,33	21,03	21,3072	448,5699	NA		
84	U	Up	70	U3024B	U3027	F4	4013	A	70U4013A	1	1	28.07.2016	0	4,28	7,6	2,79	2,9	20,04	18,8	21,622	376,752	NA		
122	U	Up	70	U3024B	U3027	F4	4013	A	70U4013A	2	1	08.08.2016	0	4,1	7,8	3,24	3,12	20,56	20,85	24,804	428,676	NA		
198	U	Up	70	U3024B	U3027	F4	4013	A	70U4013A	3	1	24.08.2016	0	4,06	8,39	3,61	3,38	22,72	23,28	29,32305	528,9216	NA		
167	U	Up	70	U3024B	U3031B	F4	4014	A	70U4014A	1	2	23.08.2016	0,8	3,2	7,39	3,21	2,98	22,29	21,52	22,87205	479,6808	NA		
207	U	Up	70	U3024B	U3031B	F4	4014	A	70U4014A	2	1	28.08.2016	0,99	3,11	7,14	2,72	2,61	20,95	21,12	19,0281	442,464	NA		
207	U	Up	70	U3024B	U3031B	F4	4014	A	70U4014A	3	2	28.08.2016	0	3,35	6,6	2,52	2,45	19,04	18,58	16,401	353,7632	NA		
51	U	Up	70	U3024B	U3033	F4	4015	A	70U4015A	1	1	26.07.2016	0,2	3,43	7,55	2,99	3,2	21,9	24,32	23,36725	532,608	NA		
69	U	Up	70	U3024B	U3033	F4	4015	A	70U4015A	2	2	27.07.2016	0	3,8	8,04	3,04	3,24	21,75	26,03	25,2456	566,1525	NA		
130	U	Up	70	U3024B	U3033	F4	4015	A	70U4015A	3	1	08.08.2016	1,08	3,4	7,95	3,12	3,22	23,74	24,75	25,2015	587,565	NA		
22	U	Up	70	U3024B	U3038B	F4	4016	A	70U4016A	1	1	21.07.2016	0	3,98	6,91	2,92	2,91	18,66	20,47	20,14265	381,9702	NA		
52	U	Up	70	U3024B	U3038B	F4	4016	A	70U4016A	2	1	26.07.2016	0,72	3,9	6,4	2,91	2,93	19,42	21,05	18,688	408,791	NA		
83	U	Up	70	U3024B	U3038B	F4	4016	A	70U4016A	3	3	28.07.2016	0,68	4,5	7,67	3,64	3,51	21,49	25,37	27,42025	545,2013	NA		
85	U	Up	70	U3027	U3023	F4	4017	A	70U4017A	1	1	28.07.2016	0	3,01	6,7	2,96	2,28	18,8	22	17,554	413,6	NA		
182	U	Up	70	U3027	U3023	F4	4017	A	70U4017A	2	3	24.08.2016	0	4,09	7,24	3,39	3,03	21,72	24,2	23,2404	525,624	NA		
225	U	Up	70	U3027	U3023	F4	4017	A	70U4017A	3	1	29.08.2016	0	3,07	7,48	2,77	3,07	19,24	22,08	21,8416	424,8192	NA		
105	U	Up	70	U3027	U3032	F4	4018	A	70U4018A	1	3	07.08.2016	0	3,44	7,63	3,25	3,08	23,41	25,21	24,14895	590,1661	NA		
187	U	Up	70	U3027	U3032	F4	4018	A	70U4018A	2	1	24.08.2016	0	3,07	8,23	3,34	3,31	23,33	23,48	27,36475	547,7884	NA		
226	U	Up	70	U3027	U3032	F4	4018	A	70U4018A	3	1	29.08.2016	0	3,55	7,11	3,07	2,94	20,94	21,19	21,36555	443,7186	NA		
144	U	Up	70	U3027	U3035	F4	4019	A	70U4019A	1	1	09.08.2016	0	3,25	7,72	3,14	3,13	24,16	24,56	24,2022	593,3696	NA		
NA	U	Up	70	U3027	U3035	F4	4019	A	70U4019A	2	1	10.08.2016	0,1	3,96	7,04	3,17	2,86	22,4	22,41	21,2256	501,984	NA		
203	U	Up	70	U3027	U3035	F4	4019	A	70U4019A	3	3	28.08.2016	0	3,88	7,38	3,02	2,94	22,82	22,92	21,9924	523,0344	NA		
67	U	Up	70	U3027	U3035	F4	4019	B	70U4019B	1	1	27.07.2016	0	3,37	6,76	2,57	2,56	18,23	20,46	17,3394	372,9858	NA		
68	U	Up	70	U3027	U3035	F4	4019	B	70U4019B	2	2	27.07.2016	0	3,32	7,55	2,99	3,28	19,15	22,42	23,66925	429,343	NA		
179	U	Up	70	U3027	U3035	F4	4019	B	70U4019B	3	1	23.08.2016	0	3,79	7,64	3,17	3,1	19,93	22,15	23,9514	441,4495	NA		
41	U	Up	70	U3027	U3060B	F4	4020	A	70U4020A	1	1	25.07.2016	0	3,11	7,51	2,77	3,11	19,72	22,3	22,0794	439,756	NA		
166	U	Up	70	U3027	U3060B	F4	4020	A	70U4020A	2	1	23.08.2016	0	2,99	6,91	2,94	2,89	18,94	19,73	20,14265	373,6862	NA		
191	U	Up	70	U3027	U3060B	F4	4020	A	70U4020A	3	3	24.08.2016	0	3,58	7,63	3,15	3,18	20,8	23,57	24,14895	490,256	NA		
34	U	Up	70	U3027	U3060B	F4	4020	B	70U4020B	1	1	22.07.2016	0	3,65	7,06	3,31	2,78	17,91	20,76	21,4977	371,8116	NA		
156	U	Up	70	U3027	U3060B	F4	4020	B	70U4020B	2	2	10.08.2016	0	3,39	7,22	3,36	3,17	21,3	22,31	23,5733	475,203	NA		
196	U	Up	70	U3027	U3060B	F4	4020	B	70U4020B	3	3	24.08.2016	0	3,95	7,57	3,68	3,49	21,23	23,07	27,13845	489,7761	NA		
40	U	Up	70	U3028B	U3023	F4	4021	A	70U4021A	1	2	25.07.2016	NA	3,66	8,15	3,07	3,38	21,11	23	26,28375	485,53	NA		
143	U	Up	70	U3028B	U3023	F4	4021	A	70U4021A	2	2	09.08.2016	0	3,25	7,63	2,98	3,1	18,27	19,43	23,1952	354,9861	NA		
234	U	Up	70	U3028B	U3023	F4	4021	A	70U4021A	3	1	30.08.2016	0	3,92	7,8	3,39	3,23	20,44	22,04	25,818	450,4976	NA		
18	U	Up	70	U3028B	U3031B	F4	4022	B	70U4022B	1	2	21.07.2016	0	2,75	7,62	3,19	3,28	24,02	26,7	24,6507	641,334	NA		
63	U	Up	70	U3028B	U3031B	F4	4022	B	70U4022B	2	1	27.07.2016	0	3,02	7,5	3,04	3	21,8	22,26	22,65	485,268	NA		
